,企業名,キャッチコピー,ステータス,初年度年収
51,株式会社エクストリーム | ゲーム会社などエンターテイメント系企業多数！,ゲーム業界へのキャリアチェンジも可能！【IT系プログラマー】 正社員,正社員,300万円～550万円
52,株式会社 アート・ワーク | 《教育業界に特化》 情報処理システムの設計・開発・構築・運用,経験者・未経験者歓迎！【システムエンジニア】※完全週休2日制 正社員,正社員,300万円～450万円
53,株式会社日本ブレーン | 「5/29(土) マイナビ転職EXPO東京@新宿エルタワー」に出展！,【ITエンジニア】★残業月20h程/完全週休2日(土日)/定着率9割超 正社員,正社員,400万円～800万円
54,エイチ・エス債権回収株式会社 | <澤田ホールディングス(JASDAQ上場)グループ>★年休120日~,自社システム【社内SE・プログラマー】★土日祝休★完全週休2日 正社員,正社員,
55,大栄工業株式会社 | ◎転勤なし ◎資格取得支援制度あり ◎賞与年2回 ◎長期休暇あり,プラスチック製品の【製造エンジニア(設計開発/製造技術)】 正社員,正社員,
56,システック株式会社 | 【大阪府緊急雇用対策に賛同】年休124日／「江坂駅」から徒歩1分,自社内開発案件からスタートできる【ITエンジニア】※残業少なめ 正社員,正社員,300万円～500万円
57,アイスマン株式会社 | 世界に通用する製氷機メーカーのパイオニア｜年間休日120日以上,産業用製氷機の【設計開発職(電気回路・制御プログラム・機械)】 正社員,正社員,
58,株式会社マジオネット熱海 | 未経験×中途入社90％＊勤務時間に勉強できて資格が取れる!?,面接1回！スピード入社OK/未経験から月給20万以上【教習指導員】 契約社員,契約社員,250万円～350万円
59,ネットライフシステム株式会社 | 【2021年6月26日(土)マイナビ転職フェア 熊本に出展！】,【総合職(オフィスコンサル/保守メンテ/プログラマー/事務)】 正社員,正社員,350万円～700万円
60,株式会社大沢電装 | 月給23万1000円～/賞与年2回などの安心できる環境で活躍！,立体駐車場の【メンテナンススタッフ】◎面接1回のスピード選考 正社員,正社員,360万円～450万円
61,株式会社ソフト・ドゥ | 【移住支援金対象求人】転勤なし！地元に根付いて安心して働ける,U・Iターン歓迎!【ソフトウェア開発技術者】※年間休日120日以上 正社員,正社員,
62,株式会社アクティブフュージョンズ | ◆移転間もない大阪オフィスの核メンバー募集：採用予定3名◆,梅田駅前の新オフィスで【ITエンジニア】募集◎リーダー候補も◎ 正社員,正社員,400万円～650万円
63,KYODOU株式会社 | クラウド型勤怠管理システム【ShiftMAX】で急成長！,自社開発システムの【営業サポート】月給25万円～／休日124日 正社員,正社員,300万円～400万円
64,株式会社アマダ | 【東証一部上場】創業75年。100年企業に向けて革新を進める！,【社内SE】◆テレワークOK ◆入社祝い金50万円支給 正社員,正社員,350万円～900万円
65,株式会社コンタクト | 社員の成長にとことん本気！大阪府緊急雇用対策に賛同,本気度が違う！【ITエンジニア】のキャリア形成を一番に考える 正社員,正社員,
66,株式会社デジデリック | ＜★平均年齢28歳★/ゆくゆくは正社員としての道も選べます！＞,＼英語力が活かせる仕事／【コミュニケーター(通訳)】★経験不問 契約社員,契約社員,350万円～500万円
67,株式会社ハーツクリエイション | 【クライアントは、NHK関連や官公庁、大手企業等】★Web面接,Web制作・映像制作の【企画・制作進行】◎完全週休二日 正社員,正社員,400万円～650万円
68,株式会社フェニシス | バンダイナムコグループなど、大手エンタメ系企業と直接取引あり,ゲーム/おもちゃPRサイトの【Webディレクター】年休125日/在宅OK 正社員,正社員,312万円～480万円
69,株式会社アレグロマジック | 【安定基盤のソウテングループ】※大阪府緊急雇用対策に賛同,大型案件に携われる！【Webシステムディレクター】月給40万円～ 正社員,正社員,480万円～600万円
70,有限会社グリーンフラグ | 10時出社／ゲーム案件・リモート案件あり／自社商品も開発予定,【SE】自社内開発9割以上／年間休日120日／残業月10h内／面接1回 正社員,正社員,400万円～600万円
71,株式会社エフィックラボ | 未経験でも月給24万円以上／自社パッケージソフト「Simpflex」,【 ITエンジニア（完全自社内開発）】※未経験の方も歓迎 正社員,正社員,350万円～700万円
72,株式会社クラウディオプログレス | 完全週休2日制・土日祝休み・年休120日以上・フレックスタイム制,Ver3.0の働き方と最新スペックで技術を磨く！【開発エンジニア】 正社員,正社員,360万円～800万円
73,株式会社カイエンシステム開発 | 創業30年/顧客管理・営業支援システムで業績好調/年休120日以上,自社製品の【プログラマー】★テレワークOK★フレックス制 正社員,正社員,350万円～540万円
74,株式会社日能研 | リフレッシュ休暇あり！休みも充実♪※大阪府緊急雇用対策に賛同,未経験歓迎！【塾講師】朝はゆったり出社＆月平均8日～9日休み 正社員,正社員,
75,株式会社ジオクラフト | 世界でも活躍！水道インフラなどの地理情報システムを開発,地理情報システムの【総合職（システム営業／PG)】※転勤なし 正社員,正社員,
76,株式会社アルジャンスー | 全国26拠点の美容室が新規事業でピラティスト＆トレーナー募集!!,【トレーナー＆ピラティスト】韓国式ダイエットジム◎経験者歓迎 正社員,正社員,400万円～800万円
77,株式会社アップロード | 土日休み◆有給取得月1回以上◆毎週金曜はノー残業DAY◆手当充実,【ITエンジニア（SE・PG）】★年間休日128日＆月給25万円～！ 正社員,正社員,
78,株式会社アレックス | 大手メーカーとの直取引で成長を続ける安定企業,あの人気アニメ案件も担当できる【デザイナー（2D／3D／CG）】 正社員,正社員,270万円～500万円
79,株式会社NAACS | ★お休みも柔軟に対応可！まるでフリーランスのように働ける会社,☆案件単価の70%を給与還元！☆【ITエンジニア】テレワークOK！ 正社員,正社員,420万円～600万円
80,株式会社ビジネステック | 年間休日数123日／土日祝日休み／育児休暇取得・復帰実績あり,＼前職給与を最大限考慮／あなたのスキルを評価⇒還元【SE／PG】 正社員,正社員,350万円～500万円
81,株式会社アクセル・モード | ＊設立より11期連続で増収増益！事業拡大中の企業です＊,【ITエンジニア】★テレワーク100％ ★年休136日 ★残業月10h 正社員,正社員,330万円～600万円
82,朝日航洋株式会社 | ＜トヨタ系列＞テレワーク/時差勤務/時間有給など柔軟な働き方◎,年休122日・完全土日祝休み/PCスキルを活かせる【人事】 正社員,正社員,
83,株式会社セイコーフレッシュフーズ | セイコーマートでおなじみ【Secoma】の物流・卸会社！,仕事を設計する！上流工程中心の【社内SE】☆経験不問／札幌勤務 正社員,正社員,
84,株式会社グローバルギア | 東証一部上場『KLab株式会社』のグループ企業！安定感＆将来性◎,憧れのゲーム業界にキャリアチェンジもOK【ゲームプログラマー】 正社員,正社員,380万円～500万円
85,ケービーソフトウェア株式会社 | 【 創業30周年 】フレックス勤務/年間休日120日/WEB面接OK,グローバルに活躍する会社で成長できる【 システムエンジニア 】 正社員,正社員,
86,株式会社クラウドシード | 黒字経営を継続中／前年比150%業績アップ／インセンティブあり,経験者歓迎！【企画営業・Webマーケター】土日祝休み／年休120日 正社員,正社員,300万円～500万円
87,株式会社青山プランニングアーツ | ★トヨタ販社など大手企業の案件多数 ★土日祝休み ★年休120日~,第二新卒採用start！【総合職（営業サポート・システム担当）】 正社員,正社員,280万円～350万円
88,三本珈琲株式会社 | 横浜に根付いて60年以上／業務用コーヒー卸で名を馳せる老舗企業,アイデアと挑戦で、自社ECサイトに火をつけましょう！【EC運営】 正社員,正社員,300万円～450万円
89,株式会社ワンノブアカインド | ★昇給年4回★週4勤務OK★トリプルディスプレイなど抜群の環境,100％自社内開発【エンジニア】月給40～60万円★フルリモートOK 正社員,正社員,500万円～750万円
90,株式会社エーフォース | 7期連続増収増益の独立系広告代理店 ☆残業なし ☆年間休日125日,【WEB・映像制作ディレクター】☆年俸300～500万円 ☆経験者優遇 正社員,正社員,300万円～500万円
91,株式会社エスユーエス | 【マザーズ上場】希望エリア就職率97％／有給休暇取得率74％,最先端技術を支える理想の環境を【インフラエンジニア】 正社員,正社員,400万円～1000万円
92,株式会社シフト | 人気タイトルの開発に企画段階から携われる！最新機種の実績多数,ゲームクリエイター（プログラマー・プランナー・デザイナー） 業務委託,業務委託,350万円～950万円
93,株式会社System Tomorrow | 受託開発のみ！100％自社内開発⇒なので残業も転勤も無し！,【プログラマ】エンジニア目線だからスキルも自由も手に入る！ 正社員,正社員,400万円～600万円
94,株式会社ルーティス | 大手メーカーや大手Sierとの取引中心　★年休120日以上/残業少,プライム案件8割！上流工程から携わる【プログラマー】転勤なし 正社員,正社員,
95,株式会社アンヴィル | 株式会社Anvil　☆5/29 『マイナビ転職フェア新宿 』にも出展！,ITエンジニア／プログラマー 正社員,正社員,300万円～750万円
96,株式会社インフォディオ | ☆時差出勤や週1回の早帰日(実勤6時間)制度あり！,100%自社内開発【システムエンジニア】☆年休122日☆土日祝休み 正社員,正社員,380万円～600万円
97,株式会社シイエム・シイ | 【JASDAQ上場】「マニュアル」に特化し、大手企業とも取引！,【XRプログラマー】★年休120日／名古屋勤務／転勤なし 正社員,正社員,480万円～590万円
98,株式会社ブライトスター | 10月に新オフィス移転！年間休日120日以上/残業月10時間以内,経験者が選びたくなる転職先！【ITエンジニア】★月給75万円も可 正社員,正社員,400万円～900万円
99,株式会社イーエムエス新潟 | 5/29（土）朱鷺メッセ マイナビ転職 新潟フェアに出展！,【プログラマー】業務系、組込み系、開発エンジニア 新潟で活躍 正社員,正社員,288万円～540万円
100,株式会社いつみ家 | ◆年間休日105日◆賞与年3回◆1食150円の食堂あり,【社内システムエンジニア】福利厚生充実◆賞与年3回◆転勤なし 正社員,正社員,500万円～600万円
101,株式会社クロノステクノロジー,《岡崎》【プログラマー】*転勤なし・年休122日 正社員,正社員,280万円～490万円
102,株式会社トイロジック,【スマホ向けゲームプログラマー】世界に向けたゲームを開発！ 正社員,正社員,
103,株式会社トイロジック,【ゲームプログラマー】先端技術で世界に向けたゲームを開発！ 正社員,正社員,
104,株式会社ケージェーシーソフトウェア | ＼残業ほぼナシ／賞与実績4ヶ月分・月給25万円以上,《年休125日》住宅メーカー向け社内システムの【SE・PG】 正社員,正社員,400万円～720万円
105,株式会社CLAPS | 2019年に設立した急成長中企業。すでに幅広い業界の顧客と取引！,【プログラマー】★完全土日祝休み／年休129日／フレックス勤務 正社員,正社員,400万円～550万円
106,株式会社アイセック | 健康への不安を、安心に変える。新潟大学発の医療ベンチャー,<年間休日120日>医療ベンチャーのシステム開発を担う【SE・PG】 正社員,正社員,300万円～500万円
107,株式会社アイセック | 健康への不安を、安心に変える。新潟大学発の医療ベンチャー,<年間休日120日>医療ベンチャーのシステム開発を担う【PM】 正社員,正社員,400万円～600万円
108,Ｗｏｒｌｄ　Ｕｔｉｌｉｔｙ株式会社 | ◎年間休日120日◎完全週休2日制◎退職金制度あり◎WEB面接可,『アイデアをカタチに！』ブランディングも行う【ディレクター】 正社員,正社員,350万円～600万円
109,シーレイシステム株式会社 | 自治体や大手企業との直接取引をメインに安定成長中です！,直取引案件メイン【社内開発SE】年休120日以上★時短勤務可！ 正社員,正社員,300万円～500万円
110,京都プロメド株式会社 | 遠隔画像診断サービスが主軸／実務未経験から活躍できる職場,医療業界に貢献できる【社内SE】※残業月平均5h／年間休日120日 正社員,正社員,300万円～500万円
111,学校法人国際総合学園 | 【NSGグループ】日本トップクラスの規模を誇る専門学校グループ,【専門学校教員(情報・システム)】正社員登用前提／郡山市勤務 契約社員,契約社員,
112,エボルテック株式会社 | 【5月8日（土）マイナビ転職フェア愛知　出展】,【ITエンジニア】エンジニアファーストの企業でキャリアを描く 正社員,正社員,
113,株式会社デイシス | 世界的な大手自動車部品メーカー矢崎総業グループ,【開発職（SE・PG)】♪年休121日/有給取得率80％以上！ 正社員,正社員,
114,株式会社ジェイテック | ――★ 2021年5月15日　 マイナビ転職セミナー岡山に出展 ★――,【 SE/PG 】完全週休2日制(土日祝) ＆ 未経験でも月給19.2万円～ 正社員,正社員,270万円～600万円
115,プロンプト・Ｋ株式会社 | 【 2021年5月15日(土) マイナビ転職フェア鹿児島に出展！】,《鹿児島募集》年休124日/土日祝休み【PG(プログラマー)】 正社員,正社員,315万円～540万円
116,株式会社System Tomorrow | 受託開発のみ！100％自社内開発⇒なので残業も転勤も無し！,【システムエンジニア】エンジニア目線の会社でPL・PMを目指す！ 正社員,正社員,450万円～600万円
117,インターナショナルシステムズ株式会社 | 前給保証/直近2年離職率0％/創業から13年連続黒字/Skype面接可能,【SE・PG】「残業なし」「稼ぎたい」あなたの希望に応えます 正社員,正社員,320万円～750万円
118,株式会社トイロジック,【UIデザイナー】世界中に驚きと感動を与える大型ゲーム開発！ 正社員,正社員,
119,株式会社バーズ情報科学研究所 | パソコンOCRソフト開発に成功した日本のリーディングカンパニー,自社内開発の【SE（システム設計・構築）】★次期リーダー候補 正社員,正社員,350万円～450万円
120,株式会社テクノラボ | 年休124日以上・完全週休2日制(土日休み)・有給休暇10日～20日,100％自社内開発！【システムエンジニア・プログラマー】 正社員,正社員,450万円～700万円
121,辰巳電子工業株式会社 | 多彩な商品・サービスを提供／抜群の福利厚生と充実の職場環境,多彩なキャリアを描く【ITエンジニア】年休129日★フレックス制 正社員,正社員,304万円～728万円
122,リバーコンティニュー株式会社 | 大阪府緊急雇用対策に賛同／年間休日休暇126日で働きやすさ抜群,月給50万円／月収80万円以上も可能【プログラマー】※若手活躍中 正社員,正社員,
123,システム・エンジニアリング・ハウス株式会社 | 官公庁はじめ、大手取引先多数！安定成長中のシステム会社,【システムエンジニア/プログラマー】☆テレワーク可能☆ 正社員,正社員,400万円～700万円
